age,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
62,7.916482338,6.461084449,6.16864284,8.033814825,7.963091533,8.917571188,6.023284352,6.906349699,11.66713544,12.79219246,12.79399566
63,7.584033588,7.3993745,5.804880828,5.910148193,7.361731067,7.647827536,6.92370388,7.124758608,9.946394567,12.94696203,12.24185853
64,7.686807446,7.399446857,6.881612625,5.486067311,5.735294519,7.266314345,5.899320506,7.870550407,11.3069264,11.40777355,12.55821383
65,7.572688096,7.490988965,6.746822402,6.753454295,5.364927192,5.590758706,5.661301705,6.965899259,9.660887782,12.595151,10.87887004
66,8.195302566,7.476481946,6.942437725,6.641197787,6.264663779,5.334834198,4.263246077,6.509968004,9.935586588,10.91795453,11.98399834
67,8.09140906,8.135430765,6.877293225,6.87190236,6.376633204,6.042623498,4.098553438,4.807460609,9.710684825,10.75448488,10.21632713
68,8.2699634,7.805784408,7.461561348,6.601119779,6.516574982,5.939033583,4.83230782,4.846396008,8.242444999,11.07857628,10.36149465
69,7.490529823,8.420059887,7.351135858,7.0905253,6.346734724,6.349090777,4.697308521,5.495318229,9.838476994,9.99708379,11.02141479
70,6.736659238,7.76362457,7.847896321,7.022591775,6.928289527,6.049749083,5.006246654,5.598186264,8.855497917,11.1570222,9.861977862
71,7.558409941,6.595163649,7.229438829,7.674387155,6.871152107,6.718829733,4.769837069,5.837062925,8.838136952,10.16258027,11.12379674
72,7.260166183,7.575258135,6.376892787,6.942409011,7.289717523,6.627479761,5.186753756,5.744317947,9.289502662,10.42035335,10.01564317
73,8.270398878,7.201584182,7.150061821,6.181109347,6.847916069,7.083279953,5.428089549,6.262471271,8.650139349,10.58112967,9.861417757
74,8.467986137,8.104662471,6.88505275,7.052531016,6.118085183,6.568228243,5.821309564,6.45530636,9.07436878,9.721597966,10.29523309
75,9.438810261,8.381558101,8.017674952,6.595861573,6.911179456,5.803285847,5.484608719,6.832763312,9.327704777,10.22065935,9.377390864
76,9.676146276,9.489817681,8.03843718,7.748886917,6.661374575,6.52521596,4.904595493,6.810226955,9.559999471,10.41822983,10.05919726
77,10.50503923,9.633205906,9.172862358,8.163086677,7.531205612,6.424961218,5.719323142,6.16801188,9.146848629,10.90211337,10.20250719
78,11.05807659,10.48061718,9.160864334,8.790839181,7.944364625,7.261783257,5.464952287,7.278962454,9.748578625,10.63476923,10.39907284
79,11.82509839,10.66375093,9.995596085,9.249154647,8.754213493,7.717654552,6.424789185,7.090636258,10.34489533,11.16622084,10.44596075
80+,13.23610292,12.27423924,11.13892065,10.20713144,9.590388377,9.100383652,7.971603601,11.37735048,14.13233318,13.77868821,12.6763862
